"Medal_Type","Medal_Date","Full_Name","Sports","Event","Country","Code","Gender","Height","Weight","Birth_Date"
"Gold Medal",2024-07-27,"Remco EVENEPOEL","Cycling Road","Men's Individual Time Trial","Belgium",1903136,"Male",0,0,2000-01-25
"Bronze Medal",2024-07-27,"Wout van AERT","Cycling Road","Men's Individual Time Trial","Belgium",1903147,"Male",0,0,1994-09-15
"Gold Medal",2024-07-27,"Grace BROWN","Cycling Road","Women's Individual Time Trial","Australia",1940173,"Female",0,0,1992-07-07
"Silver Medal",2024-07-27,"Anna HENDERSON","Cycling Road","Women's Individual Time Trial","Great Britain",1912525,"Female",0,0,1998-11-14
"Gold Medal",2024-07-27,"OH Sanguk","Fencing","Men's Sabre Individual","Korea",1927149,"Male",0,0,1996-09-30
"Silver Medal",2024-07-27,"Fares FERJANI","Fencing","Men's Sabre Individual","Tunisia",1937783,"Male",0,0,1997-07-22
"Bronze Medal",2024-07-27,"Luigi SAMELE","Fencing","Men's Sabre Individual","Italy",1924595,"Male",0,0,1987-07-25
"Gold Medal",2024-07-27,"KONG Man Wai Vivian","Fencing","Women's Épée Individual","Hong Kong, China",1963262,"Female",0,0,1994-02-08
"Silver Medal",2024-07-27,"Auriane MALLO-BRETON","Fencing","Women's Épée Individual","France",1916183,"Female",0,0,1993-10-11
"Bronze Medal",2024-07-27,"Eszter MUHARI","Fencing","Women's Épée Individual","Hungary",1946375,"Female",0,0,2002-09-30
"Gold Medal",2024-07-27,"Yeldos SMETOV","Judo","Men -60 kg","Kazakhstan",1935408,"Male",0,0,1992-09-09
"Silver Medal",2024-07-27,"Luka MKHEIDZE","Judo","Men -60 kg","France",1891304,"Male",0,0,1996-01-05
"Bronze Medal",2024-07-27,"NAGAYAMA Ryuju","Judo","Men -60 kg","Japan",1896752,"Male",0,0,1996-04-15
"Bronze Medal",2024-07-27,"Francisco GARRIGOS","Judo","Men -60 kg","Spain",1563544,"Male",0,0,1994-12-09
"Gold Medal",2024-07-27,"TSUNODA Natsumi","Judo","Women -48 kg","Japan",1896735,"Female",0,0,1992-08-06
"Silver Medal",2024-07-27,"Baasankhuu BAVUUDORJ","Judo","Women -48 kg","Mongolia",1914467,"Female",0,0,1999-11-26
"Bronze Medal",2024-07-27,"Shirine BOUKLI","Judo","Women -48 kg","France",1891280,"Female",0,0,1999-01-24
"Bronze Medal",2024-07-27,"Tara BABULFATH","Judo","Women -48 kg","Sweden",1571911,"Female",0,0,2006-01-03
"Gold Medal",2024-07-27,"Lukas MAERTENS","Swimming","Men's 400m Freestyle","Germany",1907192,"Male",0,0,2001-12-27
"Silver Medal",2024-07-27,"Elijah WINNINGTON","Swimming","Men's 400m Freestyle","Australia",1946172,"Male",0,0,2000-05-05
"Bronze Medal",2024-07-27,"KIM Woomin","Swimming","Men's 400m Freestyle","Korea",4654306,"Male",0,0,2001-08-24
"Gold Medal",2024-07-27,"Ariarne TITMUS","Swimming","Women's 400m Freestyle","Australia",1946150,"Female",0,0,2000-09-07
"Silver Medal",2024-07-27,"Summer McINTOSH","Swimming","Women's 400m Freestyle","Canada",1967140,"Female",0,0,2006-08-18
"Bronze Medal",2024-07-27,"Katie LEDECKY","Swimming","Women's 400m Freestyle","United States",1935938,"Female",0,0,1997-03-17
"Gold Medal",2024-07-28,"Jessica FOX","Canoe Slalom","Women's Kayak Single","Australia",1940205,"Female",0,0,1994-06-11
"Silver Medal",2024-07-28,"Klaudia ZWOLINSKA","Canoe Slalom","Women's Kayak Single","Poland",1942126,"Female",0,0,1998-12-18
"Bronze Medal",2024-07-28,"Kimberley WOODS","Canoe Slalom","Women's Kayak Single","Great Britain",1896045,"Female",0,0,1995-09-08
"Gold Medal",2024-07-28,"Pauline FERRAND PREVOT","Cycling Mountain Bike","Women's Cross-country","France",1895672,"Female",0,0,1992-02-10
"Silver Medal",2024-07-28,"Haley BATTEN","Cycling Mountain Bike","Women's Cross-country","United States",1955070,"Female",0,0,1998-09-19
"Bronze Medal",2024-07-28,"Jenny RISSVEDS","Cycling Mountain Bike","Women's Cross-country","Sweden",1564023,"Female",0,0,1994-06-06
"Gold Medal",2024-07-28,"KANO Koki","Fencing","Men's Épée Individual","Japan",1896548,"Male",0,0,1997-12-19
"Silver Medal",2024-07-28,"Yannick BOREL","Fencing","Men's Épée Individual","France",1916194,"Male",0,0,1988-11-05
"Bronze Medal",2024-07-28,"Mohamed ELSAYED","Fencing","Men's Épée Individual","Egypt",1936462,"Male",0,0,2003-03-03
"Gold Medal",2024-07-28,"Lee KIEFER","Fencing","Women's Foil Individual","United States",1950611,"Female",0,0,1994-06-15
"Silver Medal",2024-07-28,"Lauren SCRUGGS","Fencing","Women's Foil Individual","United States",1950643,"Female",0,0,2003-01-27
"Bronze Medal",2024-07-28,"Eleanor HARVEY","Fencing","Women's Foil Individual","Canada",1973213,"Female",0,0,1995-01-14
"Gold Medal",2024-07-28,"ABE Hifumi","Judo","Men -66 kg","Japan",1896763,"Male",0,0,1997-08-09
"Silver Medal",2024-07-28,"Willian LIMA","Judo","Men -66 kg","Brazil",1953840,"Male",0,0,2000-01-31
"Bronze Medal",2024-07-28,"Gusman KYRGYZBAYEV","Judo","Men -66 kg","Kazakhstan",1935410,"Male",0,0,1992-09-28
"Bronze Medal",2024-07-28,"Denis VIERU","Judo","Men -66 kg","Republic of Moldova",1561138,"Male",0,0,1996-03-10
"Gold Medal",2024-07-28,"Diyora KELDIYOROVA","Judo","Women -52 kg","Uzbekistan",1566997,"Female",0,0,1998-07-13
"Silver Medal",2024-07-28,"Distria KRASNIQI","Judo","Women -52 kg","Kosovo",1550162,"Female",0,0,1995-12-10
"Bronze Medal",2024-07-28,"Larissa PIMENTA","Judo","Women -52 kg","Brazil",1953817,"Female",0,0,1999-03-01
"Bronze Medal",2024-07-28,"Amandine BUCHARD","Judo","Women -52 kg","France",1891283,"Female",0,0,1995-07-12
"Gold Medal",2024-07-28,"XIE Yu","Shooting","10m Air Pistol Men","China",1913907,"Male",0,0,2000-06-12
